Process ID,Process Name,User ID,Computing Node ID,UL Latency,Backhaul Latency,Processing Latency
76,SIMPLE_RAN_APP_23,23,13,1202.0473769863002,0,7.6000000000002785
80,SIMPLE_RAN_APP_25,25,10,2149.8548975360454,0,9.600000000000307
77,SIMPLE_RAN_APP_23,23,84,1202.0473769863002,0,10.000000000000313
81,SIMPLE_RAN_APP_25,25,90,2149.8548975360454,0,10.000000000000313
32,SIMPLE_RAN_APP_1,1,11,2166.6120805501087,0,10.000000000000313
60,SIMPLE_RAN_APP_15,15,10,474.5955762161554,0,10.400000000000318
52,SIMPLE_RAN_APP_11,11,11,1111.259777623107,0,10.600000000000321
84,SIMPLE_RAN_APP_27,27,12,1050.9407972739073,0,11.000000000000327
44,SIMPLE_RAN_APP_7,7,12,975.0218979632399,0,11.20000000000033
36,SIMPLE_RAN_APP_3,3,13,1500.9376355655534,0,11.600000000000335
54,SIMPLE_RAN_APP_12,12,12,1362.47705678345,0,12.000000000000341
40,SIMPLE_RAN_APP_5,5,10,544.8759007307565,0,12.000000000000341
48,SIMPLE_RAN_APP_9,9,14,777.1099508179574,0,12.800000000000352
46,SIMPLE_RAN_APP_8,8,13,1942.3448591931353,0,13.800000000000367
88,SIMPLE_RAN_APP_29,29,14,829.5421172502172,0,13.800000000000367
33,SIMPLE_RAN_APP_1,1,18,2166.6120805501087,0,14.00000000000037
37,SIMPLE_RAN_APP_3,3,24,1500.9376355655534,0,14.00000000000037
41,SIMPLE_RAN_APP_5,5,30,544.8759007307565,0,14.00000000000037
45,SIMPLE_RAN_APP_7,7,36,975.0218979632399,0,14.00000000000037
47,SIMPLE_RAN_APP_8,8,39,1942.3448591931353,0,14.00000000000037
49,SIMPLE_RAN_APP_9,9,42,777.1099508179574,0,14.00000000000037
53,SIMPLE_RAN_APP_11,11,48,1111.259777623107,0,14.00000000000037
55,SIMPLE_RAN_APP_12,12,51,1362.47705678345,0,14.00000000000037
61,SIMPLE_RAN_APP_15,15,60,474.5955762161554,0,14.00000000000037
85,SIMPLE_RAN_APP_27,27,96,1050.9407972739073,0,14.00000000000037
89,SIMPLE_RAN_APP_29,29,102,829.5421172502172,0,14.00000000000037
62,SIMPLE_RAN_APP_16,16,11,2763.3539937106625,0,14.80000000000038
50,SIMPLE_RAN_APP_10,10,10,2107.8431507018386,0,14.80000000000038
58,SIMPLE_RAN_APP_14,14,14,4380.206181544956,0,15.600000000000392
70,SIMPLE_RAN_APP_20,20,10,3142.039906635977,0,15.800000000000395
66,SIMPLE_RAN_APP_18,18,13,3410.1720997102066,0.0,16.600000000000406
42,SIMPLE_RAN_APP_6,6,11,2242.9141223942756,0,16.80000000000041
34,SIMPLE_RAN_APP_2,2,12,2371.5312071052304,0,17.800000000000423
68,SIMPLE_RAN_APP_19,19,14,2497.8916049183526,0,17.800000000000423
35,SIMPLE_RAN_APP_2,2,21,2371.5312071052304,0,18.000000000000426
43,SIMPLE_RAN_APP_6,6,33,2242.9141223942756,0,18.000000000000426
51,SIMPLE_RAN_APP_10,10,45,2107.8431507018386,0,18.000000000000426
59,SIMPLE_RAN_APP_14,14,57,4380.206181544956,0,18.000000000000426
63,SIMPLE_RAN_APP_16,16,63,2763.3539937106625,0,18.000000000000426
67,SIMPLE_RAN_APP_18,18,69,3410.1720997102066,0.0,18.000000000000426
69,SIMPLE_RAN_APP_19,19,72,2497.8916049183526,0,18.000000000000426
71,SIMPLE_RAN_APP_20,20,75,3142.039906635977,0,18.000000000000426
56,SIMPLE_RAN_APP_13,13,13,2311.933234682206,0,20.40000000000046
57,SIMPLE_RAN_APP_13,13,54,2311.933234682206,0,22.000000000000483
76,SIMPLE_RAN_APP_23,23,13,1202.0473769863002,0.0,7.600000000000989
77,SIMPLE_RAN_APP_23,23,84,1202.0473769863002,0.0,8.000000000000995
80,SIMPLE_RAN_APP_25,25,10,2149.8548975360454,0,9.600000000001017
32,SIMPLE_RAN_APP_1,1,11,2166.6120805501087,0,10.000000000001023
60,SIMPLE_RAN_APP_15,15,10,474.5955762161554,0,10.400000000001029
52,SIMPLE_RAN_APP_11,11,11,1111.259777623107,0,10.600000000001032
84,SIMPLE_RAN_APP_27,27,12,1050.9407972739073,0,11.000000000001037
44,SIMPLE_RAN_APP_7,7,12,975.0218979632399,0,11.20000000000104
36,SIMPLE_RAN_APP_3,3,13,1500.9376355655534,0,11.600000000001046
33,SIMPLE_RAN_APP_1,1,18,2166.6120805501087,0,12.000000000001052
37,SIMPLE_RAN_APP_3,3,24,1500.9376355655534,0,12.000000000001052
45,SIMPLE_RAN_APP_7,7,36,975.0218979632399,0,12.000000000001052
53,SIMPLE_RAN_APP_11,11,48,1111.259777623107,0,12.000000000001052
61,SIMPLE_RAN_APP_15,15,60,474.5955762161554,0,12.000000000001052
81,SIMPLE_RAN_APP_25,25,90,2149.8548975360454,0,12.000000000001052
85,SIMPLE_RAN_APP_27,27,96,1050.9407972739073,0,12.000000000001052
54,SIMPLE_RAN_APP_12,12,12,1362.47705678345,0,12.000000000001052
40,SIMPLE_RAN_APP_5,5,10,544.8759007307565,0,12.000000000001052
48,SIMPLE_RAN_APP_9,9,14,777.1099508179574,0,12.800000000001063
46,SIMPLE_RAN_APP_8,8,13,1942.3448591931353,0,13.800000000001077
88,SIMPLE_RAN_APP_29,29,14,829.5421172502172,0,13.800000000001077
62,SIMPLE_RAN_APP_16,16,11,2763.3539937106625,0,14.800000000001091
50,SIMPLE_RAN_APP_10,10,10,2107.8431507018386,0,14.800000000001091
58,SIMPLE_RAN_APP_14,14,14,4380.206181544956,0,15.600000000001103
70,SIMPLE_RAN_APP_20,20,10,3142.039906635977,0,15.800000000001106
41,SIMPLE_RAN_APP_5,5,30,544.8759007307565,0,16.00000000000111
47,SIMPLE_RAN_APP_8,8,39,1942.3448591931353,0,16.00000000000111
51,SIMPLE_RAN_APP_10,10,45,2107.8431507018386,0,16.00000000000111
55,SIMPLE_RAN_APP_12,12,51,1362.47705678345,0,16.00000000000111
59,SIMPLE_RAN_APP_14,14,57,4380.206181544956,0,16.00000000000111
63,SIMPLE_RAN_APP_16,16,63,2763.3539937106625,0,16.00000000000111
71,SIMPLE_RAN_APP_20,20,75,3142.039906635977,0,16.00000000000111
89,SIMPLE_RAN_APP_29,29,102,829.5421172502172,0,16.00000000000111
66,SIMPLE_RAN_APP_18,18,13,3410.1720997102066,0,16.600000000001117
42,SIMPLE_RAN_APP_6,6,11,2242.9141223942756,0,16.80000000000112
34,SIMPLE_RAN_APP_2,2,12,2371.5312071052304,0,17.800000000001134
68,SIMPLE_RAN_APP_19,19,14,2497.8916049183526,0,17.800000000001134
35,SIMPLE_RAN_APP_2,2,21,2371.5312071052304,0,20.000000000001165
43,SIMPLE_RAN_APP_6,6,33,2242.9141223942756,0,20.000000000001165
49,SIMPLE_RAN_APP_9,9,42,777.1099508179574,0,20.000000000001165
67,SIMPLE_RAN_APP_18,18,69,3410.1720997102066,0,20.000000000001165
69,SIMPLE_RAN_APP_19,19,72,2497.8916049183526,0,20.000000000001165
56,SIMPLE_RAN_APP_13,13,13,2311.933234682206,0,20.40000000000117
57,SIMPLE_RAN_APP_13,13,54,2311.933234682206,0,24.000000000001222
76,SIMPLE_RAN_APP_23,23,13,1202.0473769863002,0,7.599999999999596
80,SIMPLE_RAN_APP_25,25,10,2149.8548975360454,0,9.599999999999483
32,SIMPLE_RAN_APP_1,1,11,2166.6120805501087,0,9.99999999999946
77,SIMPLE_RAN_APP_23,23,84,1202.0473769863002,0,10.199999999999449
81,SIMPLE_RAN_APP_25,25,90,2149.8548975360454,0,10.199999999999449
60,SIMPLE_RAN_APP_15,15,10,474.5955762161554,0,10.399999999999437
52,SIMPLE_RAN_APP_11,11,11,1111.259777623107,0,10.599999999999426
84,SIMPLE_RAN_APP_27,27,12,1050.9407972739073,0,10.999999999999403
44,SIMPLE_RAN_APP_7,7,12,975.0218979632399,0,11.199999999999392
36,SIMPLE_RAN_APP_3,3,13,1500.9376355655534,0,11.599999999999369
54,SIMPLE_RAN_APP_12,12,12,1362.47705678345,0,11.999999999999346
40,SIMPLE_RAN_APP_5,5,10,544.8759007307565,0,11.999999999999346
48,SIMPLE_RAN_APP_9,9,14,777.1099508179574,0,12.7999999999993
46,SIMPLE_RAN_APP_8,8,13,1942.3448591931353,0,13.799999999999244
88,SIMPLE_RAN_APP_29,29,14,829.5421172502172,0,13.799999999999244
33,SIMPLE_RAN_APP_1,1,18,2166.6120805501087,0,14.199999999999221
37,SIMPLE_RAN_APP_3,3,24,1500.9376355655534,0,14.199999999999221
41,SIMPLE_RAN_APP_5,5,30,544.8759007307565,0,14.199999999999221
45,SIMPLE_RAN_APP_7,7,36,975.0218979632399,0,14.199999999999221
47,SIMPLE_RAN_APP_8,8,39,1942.3448591931353,0,14.199999999999221
49,SIMPLE_RAN_APP_9,9,42,777.1099508179574,0,14.199999999999221
53,SIMPLE_RAN_APP_11,11,48,1111.259777623107,0,14.199999999999221
55,SIMPLE_RAN_APP_12,12,51,1362.47705678345,0,14.199999999999221
61,SIMPLE_RAN_APP_15,15,60,474.5955762161554,0,14.199999999999221
85,SIMPLE_RAN_APP_27,27,96,1050.9407972739073,0,14.199999999999221
89,SIMPLE_RAN_APP_29,29,102,829.5421172502172,0,14.199999999999221
62,SIMPLE_RAN_APP_16,16,11,2763.3539937106625,0,14.799999999999187
50,SIMPLE_RAN_APP_10,10,10,2107.8431507018386,0,14.799999999999187
58,SIMPLE_RAN_APP_14,14,14,4380.206181544956,0,15.599999999999142
70,SIMPLE_RAN_APP_20,20,10,3142.039906635977,0,15.79999999999913
66,SIMPLE_RAN_APP_18,18,13,3410.1720997102066,0,16.599999999999085
42,SIMPLE_RAN_APP_6,6,11,2242.9141223942756,0,16.799999999999073
34,SIMPLE_RAN_APP_2,2,12,2371.5312071052304,0,17.799999999999017
68,SIMPLE_RAN_APP_19,19,14,2497.8916049183526,0,17.799999999999017
35,SIMPLE_RAN_APP_2,2,21,2371.5312071052304,0,18.199999999998994
51,SIMPLE_RAN_APP_10,10,45,2107.8431507018386,0,18.199999999998994
59,SIMPLE_RAN_APP_14,14,57,4380.206181544956,0,18.199999999998994
63,SIMPLE_RAN_APP_16,16,63,2763.3539937106625,0,18.199999999998994
67,SIMPLE_RAN_APP_18,18,69,3410.1720997102066,0,18.199999999998994
69,SIMPLE_RAN_APP_19,19,72,2497.8916049183526,0,18.199999999998994
71,SIMPLE_RAN_APP_20,20,75,3142.039906635977,0,18.199999999998994
56,SIMPLE_RAN_APP_13,13,13,2311.933234682206,0.0,20.39999999999887
43,SIMPLE_RAN_APP_6,6,33,2242.9141223942756,0,22.199999999998766
57,SIMPLE_RAN_APP_13,13,54,2311.933234682206,0.0,22.199999999998766
76,SIMPLE_RAN_APP_23,23,13,1202.0473769863002,0,7.799999999996743
77,SIMPLE_RAN_APP_23,23,84,1202.0473769863002,0,8.19999999999672
80,SIMPLE_RAN_APP_25,25,10,2149.8548975360454,0,9.79999999999663
32,SIMPLE_RAN_APP_1,1,11,2166.6120805501087,0,10.199999999996606
60,SIMPLE_RAN_APP_15,15,10,474.5955762161554,0,10.599999999996584
52,SIMPLE_RAN_APP_11,11,11,1111.259777623107,0,10.799999999996572
84,SIMPLE_RAN_APP_27,27,12,1050.9407972739073,0,11.19999999999655
44,SIMPLE_RAN_APP_7,7,12,975.0218979632399,0,11.399999999996538
36,SIMPLE_RAN_APP_3,3,13,1500.9376355655534,0,11.799999999996515
33,SIMPLE_RAN_APP_1,1,18,2166.6120805501087,0,12.199999999996493
37,SIMPLE_RAN_APP_3,3,24,1500.9376355655534,0,12.199999999996493
45,SIMPLE_RAN_APP_7,7,36,975.0218979632399,0,12.199999999996493
53,SIMPLE_RAN_APP_11,11,48,1111.259777623107,0,12.199999999996493
81,SIMPLE_RAN_APP_25,25,90,2149.8548975360454,0,12.199999999996493
85,SIMPLE_RAN_APP_27,27,96,1050.9407972739073,0,12.199999999996493
54,SIMPLE_RAN_APP_12,12,12,1362.47705678345,0,12.199999999996493
40,SIMPLE_RAN_APP_5,5,10,544.8759007307565,0,12.199999999996493
48,SIMPLE_RAN_APP_9,9,14,777.1099508179574,0,12.999999999996447
46,SIMPLE_RAN_APP_8,8,13,1942.3448591931353,0,13.99999999999639
88,SIMPLE_RAN_APP_29,29,14,829.5421172502172,0,13.99999999999639
62,SIMPLE_RAN_APP_16,16,11,2763.3539937106625,0,14.999999999996334
50,SIMPLE_RAN_APP_10,10,10,2107.8431507018386,0,14.999999999996334
58,SIMPLE_RAN_APP_14,14,14,4380.206181544956,0,15.799999999996288
70,SIMPLE_RAN_APP_20,20,10,3142.039906635977,0,15.999999999996277
41,SIMPLE_RAN_APP_5,5,30,544.8759007307565,0,16.199999999996265
47,SIMPLE_RAN_APP_8,8,39,1942.3448591931353,0,16.199999999996265
49,SIMPLE_RAN_APP_9,9,42,777.1099508179574,0,16.199999999996265
51,SIMPLE_RAN_APP_10,10,45,2107.8431507018386,0,16.199999999996265
55,SIMPLE_RAN_APP_12,12,51,1362.47705678345,0,16.199999999996265
61,SIMPLE_RAN_APP_15,15,60,474.5955762161554,0,16.199999999996265
63,SIMPLE_RAN_APP_16,16,63,2763.3539937106625,0,16.199999999996265
89,SIMPLE_RAN_APP_29,29,102,829.5421172502172,0,16.199999999996265
66,SIMPLE_RAN_APP_18,18,13,3410.1720997102066,0,16.79999999999623
42,SIMPLE_RAN_APP_6,6,11,2242.9141223942756,0,16.99999999999622
34,SIMPLE_RAN_APP_2,2,12,2371.5312071052304,0,17.999999999996163
68,SIMPLE_RAN_APP_19,19,14,2497.8916049183526,0,17.999999999996163
35,SIMPLE_RAN_APP_2,2,21,2371.5312071052304,0,20.199999999996038
43,SIMPLE_RAN_APP_6,6,33,2242.9141223942756,0,20.199999999996038
67,SIMPLE_RAN_APP_18,18,69,3410.1720997102066,0,20.199999999996038
69,SIMPLE_RAN_APP_19,19,72,2497.8916049183526,0,20.199999999996038
71,SIMPLE_RAN_APP_20,20,75,3142.039906635977,0,20.199999999996038
56,SIMPLE_RAN_APP_13,13,13,2311.933234682206,0,20.599999999996015
57,SIMPLE_RAN_APP_13,13,54,2311.933234682206,0,24.19999999999581
59,SIMPLE_RAN_APP_14,14,57,4380.206181544956,0,24.19999999999581
76,SIMPLE_RAN_APP_23,23,13,1202.0473769863002,0,7.799999999993929
80,SIMPLE_RAN_APP_25,25,10,2149.8548975360454,0,9.799999999993815
77,SIMPLE_RAN_APP_23,23,84,1202.0473769863002,0,10.199999999993793
81,SIMPLE_RAN_APP_25,25,90,2149.8548975360454,0,10.199999999993793
32,SIMPLE_RAN_APP_1,1,11,2166.6120805501087,0,10.199999999993793
60,SIMPLE_RAN_APP_15,15,10,474.5955762161554,0,10.59999999999377
52,SIMPLE_RAN_APP_11,11,11,1111.259777623107,0,10.799999999993759
84,SIMPLE_RAN_APP_27,27,12,1050.9407972739073,0,11.199999999993736
44,SIMPLE_RAN_APP_7,7,12,975.0218979632399,0,11.399999999993724
36,SIMPLE_RAN_APP_3,3,13,1500.9376355655534,0,11.799999999993702
54,SIMPLE_RAN_APP_12,12,12,1362.47705678345,0,12.199999999993679
40,SIMPLE_RAN_APP_5,5,10,544.8759007307565,0,12.199999999993679
48,SIMPLE_RAN_APP_9,9,14,777.1099508179574,0,12.999999999993634
46,SIMPLE_RAN_APP_8,8,13,1942.3448591931353,0,13.999999999993577
88,SIMPLE_RAN_APP_29,29,14,829.5421172502172,0,13.999999999993577
33,SIMPLE_RAN_APP_1,1,18,2166.6120805501087,0,14.199999999993565
37,SIMPLE_RAN_APP_3,3,24,1500.9376355655534,0,14.199999999993565
41,SIMPLE_RAN_APP_5,5,30,544.8759007307565,0,14.199999999993565
45,SIMPLE_RAN_APP_7,7,36,975.0218979632399,0,14.199999999993565
49,SIMPLE_RAN_APP_9,9,42,777.1099508179574,0,14.199999999993565
53,SIMPLE_RAN_APP_11,11,48,1111.259777623107,0,14.199999999993565
